ID,Start_Node,End_Node,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Section,Type
1373235,10,1,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column
1373332,11,2,19.68503937007975,5.0034257515323866e-14,0.0,19.68503937007975,5.0034257515323866e-14,9.842519685039221,HP 200x53,Column
1374668,1,3,1.5987211554602254e-14,-2.1952543190430125e-46,9.842519685039221,1.5886190637578415e-14,-2.61140161728331e-29,19.685039370078442,HP 200x53,Column
1374669,2,4,19.685039370079764,5.0034257515323866e-14,9.842519685039221,19.685039370079764,5.0034257515323866e-14,19.685039370078442,HP 200x53,Column
1374691,3,5,3.197442310920451e-14,-2.1952543190430125e-46,19.685039370078442,3.1873402192180666e-14,-2.61140161728331e-29,29.527559055117663,HP 200x53,Column
1374692,4,6,19.685039370079778,5.0034257515323866e-14,19.685039370078442,19.685039370079778,5.0034257515323866e-14,29.527559055117663,HP 200x53,Column
1375705,12,7,39.37007874015949,-1.3352538296868666e-14,-3.552713678800501e-15,39.37007874015949,-1.3352538296868666e-14,9.842519685039218,HP 200x53,Column
1375708,7,8,39.37007874015951,-1.3352538296868666e-14,9.842519685039218,39.37007874015951,-1.3352538296868666e-14,19.68503937007844,HP 200x53,Column
1375711,8,9,39.37007874015952,-1.3352538296868666e-14,19.685039370078435,39.37007874015952,-1.3352538296868666e-14,29.527559055117656,HP 200x53,Column
1383927,10,2,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column
1383962,11,7,19.68503937007975,5.003425751532387e-14,-1.421085471521101e-15,39.370078740160494,-1.3304075194224947e-14,9.84251968503922,W 250x17.9,Column
1384038,1,4,9.978239356138975e-13,1.1368683772161603e-13,9.84251968503922,19.68503937008174,5.030004190942029e-14,19.68503937007844,W 250x17.9,Column
1384069,2,8,19.68503937008074,5.0300041909423505e-14,9.842519685039218,39.37007874016149,-1.3304075194228115e-14,19.685039370078442,W 250x17.9,Column
1384128,3,6,1.5551123453102863e-14,-2.643448601211642e-29,19.685039370078442,19.685039370080762,5.008272061796766e-14,29.527559055117663,W 250x17.9,Column
1384180,4,9,19.68503937008174,5.030004190942029e-14,19.68503937007844,39.370078740162484,-1.3304075194231283e-14,29.527559055117663,W 250x17.9,Column
