ID,Start_Node,End_Node,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Section,Type
1372973,1,2,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam
1385392,3,4,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,W 310x21,Beam
1385672,5,2,39.370078740161496,-1.267735871742595e-13,9.842519685039221,19.685039370081746,5.0082720617964416e-14,9.842519685039221,W 310x21,Beam
1385679,6,7,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,W 310x21,Beam
1386848,8,1,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,1.4210854715202004e-14,1.137577690247184e-13,9.84251968503871,W 310x21,Beam
1387065,9,10,0.0,1.1366144002577471e-13,19.685039370078442,20.341207349081362,4.7813811466070347e-14,19.685039370078375,W 310x21,Beam
1387351,11,9,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 310x21,Beam
1388669,12,13,59.09038713911262,-7.617885853329881e-14,9.84251968503866,41.57070209974255,-1.211276338013961e-13,9.842519685038653,W 310x21,Beam
1388671,14,15,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,19.685039370080766,5.0034257515320565e-14,19.685039370078375,W 310x21,Beam
1388674,16,14,59.09038713911262,-7.617885853329886e-14,19.685039370078407,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 310x21,Beam
