ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,2,1,17.222487515000466,-2.1006640839600706e-14,17.700000000000006,13.022487515000465,-7.554276695747203e-15,17.699999999999996,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328466,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391625,1398273
2,4,3,24.48483542861666,-4.4391757806040566e-14,17.700000000000006,20.284835428616663,-3.093939366218707e-14,17.699999999999996,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328463,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391623,1398484
3,5,6,27.684835428616886,-5.4695914971564045e-14,17.69999999999999,31.88483542861689,-6.829196338720777e-14,17.699999999999925,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328338,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391524,1399626
4,7,1,15.122487515000463,-1.4280458767673947e-14,15.3,13.022487515000467,-7.554276695747207e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110702,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007787791,1398271
5,7,2,15.122487515000465,-1.4280458767673956e-14,15.3,17.222487515000463,-2.1078482975495808e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390111005,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.0003700778803,1397369
6,8,3,22.38483542861666,-3.7665575734113814e-14,15.3,20.284835428616667,-3.0939393662187073e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110651,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007787752,1398482
7,8,4,22.38483542861666,-3.766557573411382e-14,15.3,24.48483542861666,-4.4463599941935675e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110703,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.000370077877925,1398472
8,9,5,29.78483542861686,-6.149393917938582e-14,15.299999999999956,27.68483542861689,-5.476775710745917e-14,17.69999999999998,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390112147,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007788925,1399615
9,9,6,29.78483542861686,-6.149393917938581e-14,15.299999999999956,31.884835428616885,-6.829196338720775e-14,17.69999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390112211,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.000370077889755,1399624
10,10,1,12.422487515000464,-5.632510389482426e-15,12.6,13.022487515000467,-7.554276695747218e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480463,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337105,1398270
11,11,2,17.822487515000464,-2.302077560630207e-14,12.6,17.222487515000466,-2.1078482975495824e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480319,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978336991,1397291
12,12,3,19.684835428616665,-2.901762735592229e-14,12.6,20.284835428616663,-3.0939393662187086e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480591,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337206,1398481
13,13,4,25.084835428616657,-4.640589257274193e-14,12.6,24.48483542861666,-4.446359994193569e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480722,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337308,1398471
14,14,5,27.084835428616827,-5.284599080119419e-14,12.599999999999987,27.68483542861689,-5.476775710745918e-14,17.69999999999998,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480527,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337154,1399614
15,15,6,32.48483542861682,-7.023425601801382e-14,12.59999999999992,31.884835428616885,-6.829196338720779e-14,17.69999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480689,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337281,1399623
16,7,10,15.122487515000461,-1.4280458767673944e-14,15.3,12.422487515000464,-5.632510389482409e-15,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.008901680992991053,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577491,1398272
17,7,11,15.122487515000469,-1.428045876767396e-14,15.3,17.822487515000464,-2.3020775606302066e-14,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.00890168099299098,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577434,1397403
