ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,1,2,3.0382878685335846e-13,3.465174813754857e-14,2.999999999999955,6.000000000000306,1.5265213244357517e-14,2.999999999999955,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.01632087666127014,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.10332587379844,1372973
2,3,1,-2.0256719257514535e-37,-5.23637979100799e-50,1.9736191594953076e-20,-3.0791175508866043e-17,-7.95955212947953e-30,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182112,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794675,1373235
3,3,2,7.894476586814576e-21,2.367200483901697e-31,3.947238420362145e-21,6.00000000000061,1.533145277399228e-14,2.999999999999954,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729956945,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561827,1383927
4,4,2,6.000000000000308,1.5250441690670717e-14,0.0,6.000000000000308,1.5250441690670717e-14,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182053,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794626,1373332
5,3,4,5.039301606017078e-15,3.4673367998734173e-14,1.6243006939475926e-15,6.000000000000273,1.525044169067084e-14,-1.7762234199244315e-14,W 250x17.9,Beam,AÇO ASTM - A572 GR50,6.000000000000267,0.01389277263520551,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,109.04502356798147,1384255
