ID,X,Y,Z
1.0,-6.010750000000299,5.4131093716432914e-14,5.999999999999933
2.0,0.0,3.464400691985613e-14,5.99999999999991
3.0,6.000000000000612,1.522108061179168e-14,5.999999999999891
4.0,12.000000000001224,-3.967221371980084e-15,5.999999999999892
5.0,18.01075000000153,-2.3219316080949496e-14,5.999999999999899
6.0,24.015850000001834,-4.268820960003092e-14,5.999999999999907
7.0,30.015850000002445,-6.211113590809538e-14,5.999999999999887
8.0,36.015850000003056,-8.129943789186713e-14,5.999999999999888
9.0,42.02660000000336,-1.0055153260083655e-13,5.999999999999896
10.0,-6.010750000000308,5.4131093716432945e-14,2.9999999999998184
11.0,-3.302744744360099e-13,3.465174813755062e-14,2.999999999999955
12.0,6.000000000000306,1.5265213244357517e-14,2.999999999999955
13.0,12.000000000001224,-3.864058937071427e-14,2.999999999999955
14.0,18.01075000000153,-2.321931608094948e-14,2.9999999999997837
15.0,24.015850000001503,-4.268046838233644e-14,2.999999999999966
16.0,30.01585000000214,-6.206700327552954e-14,2.999999999999966
17.0,36.015850000003056,-1.1597280589060135e-13,2.999999999999966
18.0,42.026600000003356,-1.0055153260083654e-13,2.9999999999997806
19.0,-6.010750000000308,1.9457725717698753e-14,1.9421269101542342e-14
20.0,7.894464031748695e-21,-2.5555642446851995e-35,-2.5507721068652027e-35
21.0,12.000000000001224,-3.8640589370714266e-14,-2.5507721068652027e-35
22.0,18.010750000001533,-5.789268407968369e-14,1.9421269101542342e-14
23.0,24.015850000001834,-7.733221651988706e-14,-3.2486013878951784e-15
24.0,36.01585000000306,-1.1597280589060132e-13,-3.2486013878951784e-15
25.0,42.02660000000336,-1.3522490059957074e-13,1.6172667713647162e-14
26.0,-6.000000000000307,1.932029468535616e-14,-2.9999999999998175
27.0,18.000000000001528,-5.796088405607042e-14,-2.9999999999998175
28.0,42.01585000000336,-1.3529310057595746e-13,-2.9999999999998206
