ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,BIM ID,Midpoint X,Midpoint Z
0,0,1,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 310x21,Beam,1387351,-9.86,19.685
1,1,2,0.0,1.1366144002577471e-13,19.685039370078442,19.685039370080744,4.9937928516376895e-14,19.68503937007838,W 310x21,Beam,1387065,9.843,19.685
2,3,2,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,19.685039370080766,5.0034257515320565e-14,19.685039370078375,W 310x21,Beam,1388671,29.528,19.685
3,4,3,59.09038713911262,-7.617885853329886e-14,19.685039370078407,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 310x21,Beam,1388674,49.23,19.685
4,5,0,-19.720308398951126,1.7759545182556734e-13,9.842519685039287,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,HP 200x53,Column,1387320,-19.72,14.764
5,5,1,-19.72030839895114,1.7759545182556734e-13,9.842519685038774,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 250x17.9,Column,1388596,-9.86,14.764
6,6,1,1.5901029275910398e-14,-5.122665503278945e-29,9.842519685038774,1.580000835888656e-14,-7.734067120562255e-29,19.685039370077995,HP 200x53,Column,1386768,0.0,14.764
7,7,2,19.68503937008074,5.030004190942349e-14,9.842519685039218,19.685039370080755,5.03000419094235e-14,19.68503937007879,HP 200x53,Column,1386169,19.685,14.764
8,8,2,39.370078740161496,-1.267735871742594e-13,9.842519685038653,19.68503937008074,5.003425751532067e-14,19.68503937007838,W 250x17.9,Column,1386125,29.528,14.764
9,8,3,39.37007874016147,-1.2677358717425934e-13,9.842519685038717,39.370078740161496,-1.2677358717425947e-13,19.685039370077938,HP 200x53,Column,1388668,39.37,14.764
10,9,3,59.09038713911262,-7.617885853329885e-14,9.842519685038662,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 250x17.9,Column,1388676,49.23,14.764
11,9,4,59.09038713911261,-7.617885853329876e-14,9.842519685039173,59.09038713911262,-7.617885853329881e-14,19.685039370078407,HP 200x53,Column,1388673,59.09,14.764
12,6,2,-0.0073419301205104575,2.494476377884093e-17,9.830482578246288,19.685039370080744,5.003425751532066e-14,19.68503937007838,W 250x17.9,Column,1386124,9.839,14.758
13,5,6,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,1.4210854715202004e-14,1.137577690247184e-13,9.84251968503871,W 310x21,Beam,1386848,-9.86,9.843
14,6,7,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam,1372973,9.843,9.843
15,8,7,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,19.685039370081746,5.0082720617964416e-14,9.842519685039221,W 310x21,Beam,1385672,29.528,9.843
16,9,8,59.09038713911262,-7.617885853329881e-14,9.84251968503866,39.370078740161496,-1.267735871742594e-13,9.842519685038653,W 310x21,Beam,1388669,49.23,9.843
17,10,5,-19.720308398951126,6.350166498050098e-14,6.564252743815722e-14,-19.720308398951126,6.350166498050095e-14,9.842519685039287,HP 200x53,Column,1386370,-19.72,4.921
18,11,6,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column,1373235,-0.0,4.921
19,11,7,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column,1383927,9.843,4.921
20,12,7,39.37007874016149,-1.267735871742594e-13,1.2950257284652704e-20,19.685039370080748,5.03000419094235e-14,9.842519685039218,W 250x17.9,Column,1385674,29.528,4.921
21,12,8,39.37007874016149,-1.267735871742594e-13,6.475128476034473e-20,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,HP 200x53,Column,1385673,39.37,4.921
22,13,8,59.05511811024215,-1.8982366283912056e-13,6.039613253960852e-14,39.37007874016365,-1.2677358717425386e-13,9.842519685038653,W 250x17.9,Column,1388487,49.213,4.921
23,13,9,59.09038713911258,-1.9027264537836503e-13,-4.814615474219429e-14,59.09038713911261,-1.9027264537836516e-13,9.842519685039173,HP 200x53,Column,1388667,59.09,4.921
24,10,6,-19.72030839895114,6.383768280084891e-14,6.248160639922862e-14,-0.05934324245646749,1.1394987226223736e-13,9.830482578246249,W 250x17.9,Column,1388261,-9.89,4.915
25,11,10,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,W 310x21,Beam,1385392,-9.86,0.0
26,12,13,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,W 310x21,Beam,1385679,49.23,0.0
27,14,10,-19.72030839895114,6.350166498050103e-14,-9.84251968503877,-19.72030839895114,6.3501664980501e-14,4.511946372076636e-13,HP 200x53,Column,1384711,-19.72,-4.921
28,14,11,-19.685039370079746,6.33867935871265e-14,-9.84251968503877,9.947598300641403e-13,1.1368683549654999e-13,4.476419235288631e-13,W 250x17.9,Column,1384604,-9.843,-4.921
29,15,12,59.05511811024123,-1.9016038076138588e-13,-9.84251968503877,39.370078740160494,-1.308675167770299e-14,4.476419235288631e-13,W 250x17.9,Column,1385676,49.213,-4.921
30,15,13,59.09038713911263,-1.9027264537836518e-13,-9.84251968503877,59.09038713911263,-1.902726453783652e-13,4.511946372076636e-13,HP 200x53,Column,1385677,59.09,-4.921
