ID,X,Y,Z
0.0,4.000000000000007,2.1724750460025854e-14,3.400000000000022
1.0,4.000000000000012,2.990000000000022,3.400000000000022
2.0,4.687968847639039e-15,3.4673367998734173e-14,2.899999999999995
3.0,1.0422596119497031e-14,2.9900000000000007,2.899999999999995
4.0,8.000000000000004,8.77613292131755e-15,2.9000000000000488
5.0,8.000000000000007,2.990000000000009,2.900000000000049
6.0,0.0,0.0,0.0
7.0,5.414335646491965e-15,2.9900000000000007,0.0
8.0,4.000000000000002,2.172475046002587e-14,0.0
9.0,4.000000000000008,2.990000000000022,0.0
10.0,8.000000000000002,8.776132921317548e-15,0.0
11.0,8.000000000000007,2.990000000000009,0.0
