ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,2,1,17.222487515000466,-2.1006640839600706e-14,17.700000000000006,13.022487515000465,-7.554276695747203e-15,17.699999999999996,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.2,0.009727506019328466,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,76.35165067391625,1398273
2,3,1,15.122487515000463,-1.4280458767673947e-14,15.3,13.022487515000467,-7.554276695747207e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390110702,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.00037007787791,1398271
3,3,2,15.122487515000465,-1.4280458767673956e-14,15.3,17.222487515000463,-2.1078482975495808e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.189043743820393,0.007389479390111005,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,58.0003700778803,1397369
4,4,1,12.422487515000464,-5.632510389482426e-15,12.6,13.022487515000467,-7.554276695747218e-15,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480463,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978337105,1398270
5,5,2,17.822487515000464,-2.302077560630207e-14,12.6,17.222487515000466,-2.1078482975495824e-14,17.700000000000003,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.135172830587109,0.011891498589480319,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,93.33692978336991,1397291
6,3,4,15.122487515000461,-1.4280458767673944e-14,15.3,12.422487515000464,-5.632510389482409e-15,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.008901680992991053,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577491,1398272
7,3,5,15.122487515000469,-1.428045876767396e-14,15.3,17.822487515000464,-2.3020775606302066e-14,12.599999999999993,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.818376618407362,0.00890168099299098,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,69.86971133577434,1397403
8,6,4,15.122487515000463,-1.4280458767673947e-14,10.1,12.422487515000464,-5.632510389482418e-15,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.008525426388133315,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.9164713071932,1398269
9,6,5,15.122487515000465,-1.4280458767673956e-14,10.1,17.822487515000464,-2.302077560630207e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,3.6796738985948187,0.008525426388133502,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,66.91647130719467,1397204
10,7,4,11.922487515000466,-4.031038467595092e-15,6.999999999999999,12.422487515000466,-5.632510389482432e-15,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945888204,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.18433896746176,1398268
11,8,5,18.322487515000464,-2.46393527986406e-14,6.999999999999999,17.822487515000464,-2.302077560630207e-14,12.6,W 250x17.9,Beam,AÇO ASTM - A572 GR50,5.62227711874824,0.013018693945888097,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,102.18433896746092,1397166
12,7,6,11.922487515000466,-4.031038467595098e-15,6.999999999999999,15.122487515000463,-1.428045876767395e-14,10.1,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.455333881989092,0.00998227777212429,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,78.35136610276273,1398267
13,8,6,18.322487515000464,-2.46393527986406e-14,6.999999999999999,15.122487515000465,-1.4280458767673956e-14,10.1,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.455333881989092,0.009982277772124362,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,78.3513661027633,1397131
14,9,7,15.122487515000461,-1.4280458767673944e-14,3.8999999999999977,11.922487515000464,-4.031038467595091e-15,6.999999999999999,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.455333881989093,0.010320771819687321,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,81.00822174730096,1398266
15,9,8,15.122487515000465,-1.4280458767673953e-14,3.8999999999999977,18.322487515000464,-2.46393527986406e-14,6.999999999999999,W 250x17.9,Beam,AÇO ASTM - A572 GR50,4.455333881989093,0.010320771819687479,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,81.00822174730222,1397085
16,10,7,11.422487515000464,-2.4295665457077774e-15,-4.610042974895277e-16,11.922487515000466,-4.03103846759511e-15,7.0,W 250x17.9,Beam,AÇO ASTM - A572 GR50,7.0178344238090995,0.016248191320512282,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,127.5328152274281,1398265
17,11,8,18.822487515000464,-2.625792999097914e-14,-1.049886404548187e-15,18.32248751500046,-2.46393527986406e-14,6.999999999999999,W 250x17.9,Beam,AÇO ASTM - A572 GR50,7.0178344238090995,0.01624819132051255,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,127.53281522743019,1397055
