Type,Section,W,Massa linear,Area,d,bf,b2,tw,t,y,yp,bf/2tf,b/t,Ix,Iy,J2,J,ro,H3
W,W1100X607,607,1,77400,1140,409,–,31.0,–,–,–,3.71,–,16100000000,633000000,55800,55800000,–,–
W,W1100X548,548,1,69700,1130,406,–,27.9,–,–,–,4.06,–,14400000000,562000000,41600,41600000,–,–
W,W1100X499,499,0.5,63500,1120,404,–,26.2,–,–,–,4.50,–,12900000000,499000000,31100,31100000,–,–
W,W1100X433,433,0.4,55100,1110,401,–,22.0,–,–,–,5.02,–,11200000000,433000000,21200,21200000,–,–
W,W1100X390,390,0.4,49800,1100,401,–,19.9,–,–,–,5.57,–,10000000000,384000000,15500,15500000,–,–
W,W1100X343,343,0.3,43700,1090,401,–,18.0,–,–,–,6.45,–,8660000000,331000000,10400,10400000,–,–
W,W1000X976,976,1.0,125000,1110,429,–,50.0,–,–,–,2.39,–,23500000000,1190000000,245000,245000000,–,–
W,W1000X883,883,0.9,112000,1090,424,–,45.5,–,–,–,2.58,–,21000000000,1050000000,185000,185000000,–,–
W,W1000X748,748,0.7,95500,1070,417,–,39.1,–,–,–,2.98,–,17300000000,849000000,115000,115000000,–,–
W,W1000X642,642,0.6,81900,1050,411,–,34.0,–,–,–,3.44,–,14500000000,703000000,73700,73700000,–,–
W,W1000X591,591,0.6,75500,1040,409,–,31.0,–,–,–,3.66,–,13300000000,641000000,59100,59100000,–,–
W,W1000X554,554,0.6,71000,1030,409,–,29.5,–,–,–,3.93,–,12300000000,591000000,48300,48300000,–,–
W,W1000X539,539,0.5,68400,1030,406,–,28.4,–,–,–,3.99,–,12000000000,574000000,45400,45400000,–,–
W,W1000X483,483,0.5,61500,1020,404,–,25.4,–,–,–,4.40,–,10700000000,508000000,33000,33000000,–,–
W,W1000X443,443,0.4,56300,1010,401,–,23.6,–,–,–,4.80,–,9660000000,454000000,25500,25500000,–,–
W,W1000X412,412,0.4,52600,1010,401,–,21.1,–,–,–,5.03,–,9120000000,433000000,21400,21400000,–,–
W,W1000X371,371,0.4,47400,1000,401,–,19.1,–,–,–,5.55,–,8160000000,385000000,15900,15900000,–,–
W,W1000X321,321,0.3,41000,991,401,–,16.5,–,–,–,6.45,–,6950000000,334000000,10300,10300000,–,–
W,W1000X296,296,0.3,37900,983,401,–,16.5,–,–,–,7.39,–,6200000000,289000000,7620,7620000,–,–
W,W1000X584,584,0.6,74800,1060,315,–,36.1,–,–,–,2.45,–,12400000000,334000000,71600,71600000,–,–
W,W1000X494,494,0.5,63000,1040,310,–,31.0,–,–,–,2.86,–,10300000000,268000000,43700,43700000,–,–
W,W1000X486,486,0.5,61900,1040,307,–,30.0,–,–,–,2.85,–,10200000000,266000000,42900,42900000,–,–
W,W1000X438,438,0.4,55600,1030,305,–,26.9,–,–,–,3.11,–,9120000000,234000000,31900,31900000,–,–
W,W1000X415,415,0.4,53100,1020,305,–,26.2,–,–,–,3.31,–,8530000000,217000000,27100,27100000,–,–
W,W1000X393,393,0.4,49900,1020,302,–,24.4,–,–,–,3.45,–,8070000000,205000000,23400,23400000,–,–
W,W1000X350,350,0.4,44600,1010,302,–,21.1,–,–,–,3.77,–,7240000000,185000000,17200,17200000,–,–
W,W1000X314,314,0.3,40100,1000,300,–,19.1,–,–,–,4.17,–,6450000000,162000000,12700,12700000,–,–
W,W1000X272,272,0.3,34400,991,300,–,16.5,–,–,–,4.92,–,5490000000,138000000,8030,8030000,–,–
W,W1000X249,249,0.2,31800,980,300,–,16.5,–,–,–,5.76,–,4830000000,118000000,5830,5830000,–,–
W,W1000X222,222,0.2,28300,970,300,–,16.0,–,–,–,7.11,–,4080000000,95300000,3900,3900000,–,–
W,W920X1377,1380,1.4,175000,1090,472,–,76.7,–,–,–,2.05,–,30400000000,2060000000,595000,595000000,–,–
W,W920X1269,1270,1.3,162000,1090,462,–,64.0,–,–,–,2.01,–,29100000000,1910000000,516000,516000000,–,–
W,W920X1194,1190,1.2,152000,1080,457,–,60.5,–,–,–,2.10,–,27000000000,1750000000,437000,437000000,–,–
W,W920X1077,1080,1.1,137000,1060,452,–,55.1,–,–,–,2.28,–,23800000000,1540000000,327000,327000000,–,–
W,W920X970,970,1.0,124000,1040,447,–,50.0,–,–,–,2.48,–,21100000000,1340000000,247000,247000000,–,–
W,W920X787,787,0.8,101000,1010,437,–,40.9,–,–,–,2.96,–,16500000000,1040000000,136000,136000000,–,–
W,W920X725,725,0.7,92300,998,434,–,38.1,–,–,–,3.19,–,15000000000,937000000,107000,107000000,–,–
W,W920X656,656,0.7,83900,988,432,–,34.5,–,–,–,3.48,–,13400000000,828000000,80700,80700000,–,–
W,W920X588,588,0.6,74800,975,427,–,31.0,–,–,–,3.83,–,11900000000,728000000,59100,59100000,–,–
W,W920X537,537,0.5,68400,965,424,–,28.4,–,–,–,4.16,–,10700000000,653000000,45400,45400000,–,–
W,W920X491,491,0.5,62500,958,422,–,25.9,–,–,–,4.49,–,9700000000,591000000,35100,35100000,–,–
W,W920X449,449,0.4,57400,947,424,–,24.0,–,–,–,4.96,–,8780000000,541000000,26800,26800000,–,–
W,W920X420,420,0.4,53500,942,422,–,22.5,–,–,–,5.29,–,8160000000,499000000,21900,21900000,–,–
W,W920X390,390,0.4,49800,937,422,–,21.3,–,–,–,5.75,–,7450000000,454000000,17300,17300000,–,–
W,W920X368,368,0.4,46800,932,419,–,20.3,–,–,–,6.11,–,6950000000,420000000,14400,14400000,–,–
W,W920X344,344,0.3,44000,927,419,–,19.3,–,–,–,6.54,–,6490000000,391000000,11900,11900000,–,–
W,W920X576,576,1,73500,993,323,–,36.1,–,–,–,2.48,–,11000000000,367000000,71600,71600000,–,–
W,W920X521,521,1,66500,980,320,–,33.0,–,–,–,2.72,–,9820000000,325000000,53700,53700000,–,–
W,W920X474,474,0,60300,970,315,–,30.0,–,–,–,2.91,–,8820000000,284000000,40900,40900000,–,–
W,W920X425,425,0,54100,960,312,–,26.9,–,–,–,3.19,–,7870000000,251000000,30300,30300000,–,–
W,W920X381,381,0.4,48600,951,310,–,24.4,–,–,–,3.53,–,6990000000,220000000,22000,22000000,–,–
W,W920X345,345,0.3,43900,943,307,–,22.1,–,–,–,3.86,–,6240000000,195000000,16500,16500000,–,–
W,W920X313,313,0.3,39900,932,310,–,21.1,–,–,–,4.48,–,5490000000,171000000,11700,11700000,–,–
W,W920X289,289,0.3,36800,927,307,–,19.4,–,–,–,4.81,–,5040000000,156000000,9240,9240000,–,–
W,W920X271,271,0.3,34600,922,307,–,18.4,–,–,–,5.12,–,4700000000,144000000,7700,7700000,–,–
W,W920X253,253,0.3,32300,919,305,–,17.3,–,–,–,5.47,–,4370000000,133000000,6290,6290000,–,–
W,W920X238,238,0.2,30300,914,305,–,16.5,–,–,–,5.88,–,4060000000,123000000,5160,5160000,–,–
W,W920X223,223,0.2,28600,912,305,–,15.9,–,–,–,6.37,–,3760000000,112000000,4200,4200000,–,–
W,W920X201,201,0.2,25700,904,305,–,15.2,–,–,–,7.56,–,3250000000,93700000,2910,2910000,–,–
W,W840X576,576,0.6,73500,914,411,–,32.0,–,–,–,3.55,–,10100000000,674000000,61600,61600000,–,–
W,W840X527,527,0.5,67100,904,409,–,29.5,–,–,–,3.85,–,9160000000,608000000,47900,47900000,–,–
W,W840X473,473,0.5,60500,894,406,–,26.4,–,–,–,4.23,–,8120000000,537000000,35100,35100000,–,–
W,W840X433,433,0.4,55200,884,404,–,24.4,–,–,–,4.60,–,7370000000,483000000,27100,27100000,–,–
W,W840X392,392,0.4,49900,876,401,–,22.1,–,–,–,5.03,–,6620000000,433000000,20300,20300000,–,–
W,W840X359,359,0.4,45900,869,404,–,21.1,–,–,–,5.66,–,5910000000,388000000,15100,15100000,–,–
W,W840X329,329,0.3,42100,861,401,–,19.7,–,–,–,6.20,–,5370000000,350000000,11600,11600000,–,–
W,W840X299,299,0.3,38100,856,399,–,18.2,–,–,–,6.85,–,4830000000,312000000,8660,8660000,–,–
W,W840X251,251,0.3,31900,859,292,–,17.0,–,–,–,4.71,–,3870000000,129000000,7370,7370000,–,–
W,W840X226,226,0.2,29000,851,295,–,16.1,–,–,–,5.48,–,3400000000,114000000,5160,5160000,–,–
W,W840X210,210,0.2,26800,846,292,–,15.4,–,–,–,6.01,–,3100000000,102000000,4040,4040000,–,–
W,W840X193,193,0.2,24700,841,292,–,14.7,–,–,–,6.73,–,2790000000,90700000,3070,3070000,–,–
W,W840X176,176,0.2,22400,836,292,–,14.0,–,–,–,7.76,–,2460000000,77800000,2210,2210000,–,–
W,W760X582,582,0.6,74200,843,396,–,34.5,–,–,–,3.19,–,8620000000,645000000,72000,72000000,–,–
W,W760X531,531,0.5,67700,833,394,–,31.5,–,–,–,3.45,–,7780000000,579000000,55800,55800000,–,–
W,W760X484,484,0.5,61900,823,391,–,29.0,–,–,–,3.75,–,6990000000,516000000,42900,42900000,–,–
W,W760X434,434,0.4,55500,813,389,–,25.9,–,–,–,4.12,–,6200000000,458000000,31300,31300000,–,–
W,W760X389,389,0.4,49700,803,386,–,23.6,–,–,–,4.59,–,5450000000,399000000,22500,22500000,–,–
W,W760X350,350,0.4,44700,795,384,–,21.1,–,–,–,5.02,–,4870000000,356000000,16800,16800000,–,–
W,W760X314,314,0.3,40200,785,384,–,19.7,–,–,–,5.74,–,4290000000,315000000,11800,11800000,–,–
W,W760X284,284,0.3,36200,780,381,–,18.0,–,–,–,6.35,–,3830000000,280000000,8740,8740000,–,–
W,W760X257,257,0.3,32800,772,381,–,16.6,–,–,–,7.04,–,3430000000,249000000,6490,6490000,–,–
W,W760X220,220,0.2,28100,780,267,–,16.5,–,–,–,4.44,–,2780000000,94500000,6040,6040000,–,–
W,W760X196,196,0.2,25000,770,267,–,15.6,–,–,–,5.27,–,2400000000,81600000,4050,4050000,–,–
W,W760X185,185,0.2,23500,767,267,–,14.9,–,–,–,5.65,–,2230000000,75300000,3330,3330000,–,–
W,W760X173,173,0.2,22100,762,267,–,14.4,–,–,–,6.17,–,2050000000,68300000,2680,2680000,–,–
W,W760X161,161,0.2,20500,757,267,–,13.8,–,–,–,6.89,–,1860000000,60800000,2080,2080000,–,–
W,W760X147,147,0.1,18700,754,267,–,13.2,–,–,–,7.80,–,1660000000,53300000,1570,1570000,–,–
W,W760X134,134,0.1,17000,749,264,–,11.9,–,–,–,8.52,–,1500000000,47900000,1180,1180000,–,–
W,W690X802,802,0.8,103000,826,389,–,50.0,–,–,–,2.15,–,10700000000,878000000,206000,206000000,–,–
W,W690X548,548,0.5,70300,772,373,–,35.1,–,–,–,2.96,–,6740000000,545000000,70800,70800000,–,–
W,W690X500,500,0.5,64000,762,371,–,32.0,–,–,–,3.19,–,6080000000,491000000,54500,54500000,–,–
W,W690X457,457,0.5,58200,752,366,–,29.5,–,–,–,3.46,–,5450000000,437000000,42000,42000000,–,–
W,W690X419,419,0.4,53600,744,366,–,26.9,–,–,–,3.72,–,4950000000,397000000,33100,33100000,–,–
W,W690X384,384,0.4,49100,737,363,–,24.9,–,–,–,4.03,–,4500000000,358000000,25600,25600000,–,–
W,W690X350,350,0.4,44800,729,361,–,23.1,–,–,–,4.41,–,4040000000,320000000,19600,19600000,–,–
W,W690X323,323,0.3,41200,721,358,–,21.1,–,–,–,4.71,–,3710000000,293000000,15700,15700000,–,–
W,W690X289,289,0.3,36800,714,356,–,19.1,–,–,–,5.24,–,3270000000,258000000,11300,11300000,–,–
W,W690X265,265,0.3,33900,706,358,–,18.4,–,–,–,5.92,–,2920000000,231000000,8370,8370000,–,–
W,W690X240,240,0.2,30700,701,356,–,16.8,–,–,–,6.49,–,2630000000,207000000,6290,6290000,–,–
W,W690X217,217,0.2,27900,696,356,–,15.4,–,–,–,7.16,–,2360000000,184000000,4700,4700000,–,–
W,W690X192,192,0.2,24400,701,254,–,15.5,–,–,–,4.55,–,1980000000,76600000,4620,4620000,–,–
W,W690X170,170,0.2,21700,693,257,–,14.5,–,–,–,5.41,–,1700000000,66200000,3050,3050000,–,–
W,W690X152,152,0.2,19400,688,254,–,13.1,–,–,–,6.03,–,1510000000,57900000,2200,2200000,–,–
W,W690X140,140,0.1,17800,683,254,–,12.4,–,–,–,6.70,–,1360000000,51600000,1680,1680000,–,–
W,W690X125,125,0.1,15900,678,254,–,11.7,–,–,–,7.78,–,1190000000,44100000,1170,1170000,–,–
W,W610X551,551,0.6,70300,711,348,–,38.6,–,–,–,2.51,–,5580000000,483000000,83700,83700000,–,–
W,W610X498,498,0.5,63400,699,343,–,35.1,–,–,–,2.73,–,4950000000,429000000,63300,63300000,–,–
W,W610X455,455,0.5,57900,688,340,–,32.0,–,–,–,2.94,–,4450000000,383000000,48700,48700000,–,–
W,W610X415,415,0.4,52800,678,338,–,29.5,–,–,–,3.18,–,4000000000,343000000,37700,37700000,–,–
W,W610X372,372,0.4,47400,668,335,–,26.4,–,–,–,3.49,–,3530000000,301000000,27700,27700000,–,–
W,W610X341,341,0.3,43400,660,333,–,24.4,–,–,–,3.79,–,3180000000,271000000,21400,21400000,–,–
W,W610X307,307,0.3,39200,653,330,–,22.1,–,–,–,4.14,–,2840000000,241000000,15900,15900000,–,–
W,W610X285,285,0.3,36500,648,330,–,20.6,–,–,–,4.43,–,2610000000,221000000,12800,12800000,–,–
W,W610X262,262,0.3,33400,640,328,–,19.1,–,–,–,4.81,–,2360000000,199000000,9950,9950000,–,–
W,W610X241,241,0.2,30800,635,330,–,17.9,–,–,–,5.31,–,2150000000,184000000,7700,7700000,–,–
W,W610X217,217,0.2,27700,627,328,–,16.5,–,–,–,5.92,–,1910000000,163000000,5580,5580000,–,–
W,W610X195,195,0.2,24900,622,328,–,15.4,–,–,–,6.70,–,1670000000,142000000,3950,3950000,–,–
W,W610X174,174,0.2,22200,617,325,–,14.0,–,–,–,7.53,–,1470000000,124000000,2800,2800000,–,–
W,W610X155,155,0.2,19800,612,325,–,12.7,–,–,–,8.50,–,1290000000,108000000,1960,1960000,–,–
W,W610X153,153,0.2,19500,622,229,–,14.0,–,–,–,4.59,–,1250000000,49500000,2940,2940000,–,–
W,W610X140,140,0.1,17900,617,230,–,13.1,–,–,–,5.18,–,1120000000,45400000,2190,2190000,–,–
W,W610X125,125,0.1,15900,612,229,–,11.9,–,–,–,5.86,–,986000000,39300000,1540,1540000,–,–
W,W610X113,113,0.1,14500,607,228,–,11.2,–,–,–,6.61,–,874000000,34300000,1120,1120000,–,–
W,W610X101,101,0.1,13000,602,228,–,10.5,–,–,–,7.66,–,762000000,29300000,778,778000,–,–
W,W610X92,92.0,0.1,11700,602,179,–,10.9,–,–,–,5.97,–,645000000,14400000,712,712000,–,–
W,W610X82,82.0,0.1,10500,599,178,–,10.0,–,–,–,6.94,–,562000000,12100000,491,491000,–,–
W,W530X409,409,0.4,52800,612,328,–,31.0,–,–,–,2.95,–,3200000000,328000000,44500,44500000,–,–
W,W530X369,369,0.4,47600,602,325,–,27.9,–,–,–,3.22,–,2840000000,291000000,33600,33600000,–,–
W,W530X332,332,0.3,42900,594,323,–,25.4,–,–,–,3.55,–,2530000000,256000000,24800,24800000,–,–
W,W530X300,300,0.3,38300,584,320,–,23.1,–,–,–,3.86,–,2210000000,226000000,17000,17000000,–,–
W,W530X272,272,0.3,34600,577,318,–,21.1,–,–,–,4.22,–,1970000000,201000000,12800,12800000,–,–
W,W530X248,248,0.2,31500,572,315,–,19.1,–,–,–,4.57,–,1780000000,181000000,9820,9820000,–,–
W,W530X219,219,0.2,27900,561,318,–,18.3,–,–,–,5.44,–,1510000000,157000000,6410,6410000,–,–
W,W530X196,196,0.2,25000,554,315,–,16.5,–,–,–,6.01,–,1340000000,139000000,4700,4700000,–,–
W,W530X182,182,0.2,23200,551,315,–,15.2,–,–,–,6.45,–,1230000000,127000000,3740,3740000,–,–
W,W530X165,165,0.2,21000,546,312,–,14.0,–,–,–,7.05,–,1110000000,114000000,2840,2840000,–,–
W,W530X150,150,0.2,19200,544,312,–,12.7,–,–,–,7.68,–,1010000000,103000000,2170,2170000,–,–
W,W530X138,138,0.1,17600,549,214,–,14.7,–,–,–,4.53,–,862000000,38700000,2510,2510000,–,–
W,W530X123,123,0.1,15700,544,212,–,13.1,–,–,–,5.00,–,762000000,33900000,1810,1810000,–,–
W,W530X109,109,0.1,13900,538,211,–,11.6,–,–,–,5.60,–,666000000,29400000,1260,1260000,–,–
W,W530X101,101,0.1,12900,536,210,–,10.9,–,–,–,6.04,–,616000000,26900000,1020,1020000,–,–
W,W530X92,92.0,0.1,11800,533,209,–,10.2,–,–,–,6.70,–,554000000,23900000,762,762000,–,–
W,W530X82,82.0,0.1,10500,528,209,–,9.53,–,–,–,7.87,–,475000000,20100000,516,516000,–,–
W,W530X72,72.0,0.1,9100,523,207,–,8.89,–,–,–,9.47,–,399000000,16100000,334,334000,–,–
W,W530X85,85.0,0.1,10800,536,167,–,10.3,–,–,–,5.04,–,487000000,12700000,737,737000,–,–
W,W530X74,74.0,0.1,9480,528,166,–,9.65,–,–,–,6.10,–,410000000,10400000,475,475000,–,–
W,W530X66,66.0,0.1,8390,526,165,–,8.89,–,–,–,7.22,–,351000000,8620000,320,320000,–,–
W,W460X464,464,0.5,59100,566,305,–,38.6,–,–,–,2.19,–,2900000000,331000000,73300,73300000,–,–
W,W460X421,421,0.4,53700,556,302,–,35.6,–,–,–,2.38,–,2570000000,293000000,55800,55800000,–,–
W,W460X384,384,0.4,49000,546,300,–,32.5,–,–,–,2.56,–,2290000000,261000000,42900,42900000,–,–
W,W460X349,349,0.3,44300,536,297,–,29.5,–,–,–,2.76,–,2040000000,232000000,32800,32800000,–,–
W,W460X315,315,0.3,40200,526,295,–,26.9,–,–,–,3.02,–,1800000000,205000000,24400,24400000,–,–
W,W460X286,286,0.3,36300,518,292,–,24.4,–,–,–,3.27,–,1610000000,183000000,18600,18600000,–,–
W,W460X260,260,0.3,33200,508,290,–,22.6,–,–,–,3.58,–,1440000000,163000000,14100,14100000,–,–
W,W460X235,235,0.2,29900,500,287,–,20.6,–,–,–,3.92,–,1270000000,144000000,10500,10500000,–,–
W,W460X213,213,0.2,27100,495,284,–,18.5,–,–,–,4.25,–,1140000000,129000000,7990,7990000,–,–
W,W460X193,193,0.2,24700,490,284,–,17.0,–,–,–,4.65,–,1020000000,116000000,6040,6040000,–,–
W,W460X177,177,0.2,22600,483,287,–,16.6,–,–,–,5.31,–,912000000,105000000,4410,4410000,–,–
W,W460X158,158,0.2,20100,475,284,–,15.0,–,–,–,5.96,–,795000000,91600000,3110,3110000,–,–
W,W460X144,144,0.1,18400,472,282,–,13.6,–,–,–,6.41,–,728000000,83700000,2440,2440000,–,–
W,W460X128,128,0.1,16300,467,282,–,12.2,–,–,–,7.20,–,637000000,72800000,1710,1710000,–,–
W,W460X113,113,0.1,14400,462,279,–,10.8,–,–,–,8.11,–,554000000,63300000,1180,1180000,–,–
W,W460X106,106,0.1,13500,470,194,–,12.6,–,–,–,4.71,–,487000000,25100000,1450,1450000,–,–
W,W460X97,97.0,0.1,12300,467,193,–,11.4,–,–,–,5.06,–,445000000,22800000,1140,1140000,–,–
W,W460X89,89.0,0.1,11400,462,192,–,10.5,–,–,–,5.44,–,410000000,20900000,903,903000,–,–
W,W460X82,82.0,0.1,10500,460,191,–,9.91,–,–,–,5.98,–,370000000,18700000,691,691000,–,–
W,W460X74,74.0,0.1,9480,457,191,–,9.02,–,–,–,6.57,–,333000000,16700000,516,516000,–,–
W,W460X68,68.0,0.1,8710,460,154,–,9.14,–,–,–,5.01,–,296000000,9370000,508,508000,–,–
W,W460X60,60.0,0.1,7610,455,153,–,8.00,–,–,–,5.73,–,255000000,7950000,337,337000,–,–
W,W460X52,52.0,0.1,6650,450,152,–,7.62,–,–,–,7.06,–,212000000,6370000,211,211000,–,–
W,W410X149,149,0.1,19000,432,264,–,14.9,–,–,–,5.29,–,620000000,77400000,3220,3220000,–,–
W,W410X132,132,0.1,16900,427,264,–,13.3,–,–,–,5.92,–,541000000,67800000,2270,2270000,–,–
W,W410X114,114,0.1,14600,419,262,–,11.6,–,–,–,6.77,–,462000000,57400000,1490,1490000,–,–
W,W410X100,100,0.1,12600,414,259,–,10.0,–,–,–,7.70,–,397000000,49500000,995,995000,–,–
W,W410X85,85.0,0.1,10800,417,181,–,10.9,–,–,–,4.98,–,316000000,17900000,924,924000,–,–
W,W410X75,75.0,0.1,9480,414,180,–,9.65,–,–,–,5.61,–,274000000,15500000,633,633000,–,–
W,W410X67,67.0,0.1,8580,409,179,–,8.76,–,–,–,6.23,–,244000000,13700000,462,462000,–,–
W,W410X60,60.0,0.1,7610,406,178,–,7.75,–,–,–,6.93,–,216000000,12000000,330,330000,–,–
W,W410X53,53.0,0.1,6840,404,178,–,7.49,–,–,–,8.12,–,186000000,10200000,227,227000,–,–
W,W410X46.1,46.1,0.0,5890,404,140,–,6.99,–,–,–,6.28,–,156000000,5160000,192,192000,–,–
W,W410X38.8,38.8,0.0,4950,399,140,–,6.35,–,–,–,7.97,–,125000000,3990000,109,109000,–,–
W,W360X1299,1300,1.3,166000,599,478,–,100,–,–,–,1.71,–,7530000000,2570000000,945000,945000000,–,–
W,W360X1202,1200,1.2,154000,579,472,–,95.0,–,–,–,1.82,–,6620000000,2310000000,766000,766000000,–,–
W,W360X1086,1090,1.1,139000,569,455,–,78.0,–,–,–,1.82,–,5950000000,1960000000,604000,604000000,–,–
W,W360X990,990,1.0,126000,549,450,–,71.9,–,–,–,1.95,–,5160000000,1740000000,466000,466000000,–,–
W,W360X900,900,0.9,115000,531,442,–,66.0,–,–,–,2.09,–,4500000000,1530000000,362000,362000000,–,–
W,W360X818,818,0.8,105000,513,437,–,60.5,–,–,–,2.25,–,3930000000,1350000000,278000,278000000,–,–
W,W360X744,744,0.7,94800,498,432,–,55.6,–,–,–,2.43,–,3420000000,1200000000,214000,214000000,–,–
W,W360X677,677,0.7,86500,483,427,–,51.3,–,–,–,2.62,–,2990000000,1070000000,164000,164000000,–,–
W,W360X634,634,0.6,80600,475,424,–,47.8,–,–,–,2.75,–,2750000000,982000000,138000,138000000,–,–
W,W360X592,592,0.6,75500,465,422,–,45.0,–,–,–,2.92,–,2500000000,903000000,114000,114000000,–,–
W,W360X551,551,0.6,70300,455,419,–,42.2,–,–,–,3.10,–,2260000000,828000000,92400,92400000,–,–
W,W360X509,509,0.5,65200,445,417,–,39.1,–,–,–,3.31,–,2040000000,753000000,74100,74100000,–,–
W,W360X463,463,0.5,59000,434,411,–,35.8,–,–,–,3.59,–,1800000000,670000000,56600,56600000,–,–
W,W360X421,421,0.4,53700,424,409,–,32.8,–,–,–,3.89,–,1600000000,599000000,43300,43300000,–,–
W,W360X382,382,0.4,48800,417,406,–,30.0,–,–,–,4.23,–,1420000000,537000000,32900,32900000,–,–
W,W360X347,347,0.3,44200,406,404,–,27.2,–,–,–,4.62,–,1250000000,479000000,24800,24800000,–,–
W,W360X314,314,0.3,40000,399,401,–,24.9,–,–,–,5.06,–,1110000000,429000000,18600,18600000,–,–
W,W360X287,287,0.3,36600,394,399,–,22.6,–,–,–,5.45,–,999000000,388000000,14500,14500000,–,–
W,W360X262,262,0.3,33400,386,399,–,21.1,–,–,–,5.97,–,891000000,349000000,11000,11000000,–,–
W,W360X237,237,0.2,30100,381,396,–,18.9,–,–,–,6.54,–,791000000,311000000,8200,8200000,–,–
W,W360X216,216,0.2,27500,376,394,–,17.3,–,–,–,7.11,–,712000000,282000000,6330,6330000,–,–
W,W360X196,196,0.2,25000,373,373,–,16.4,–,–,–,7.15,–,637000000,228000000,5120,5120000,–,–
W,W360X179,179,0.2,22800,368,373,–,15.0,–,–,–,7.80,–,574000000,206000000,3900,3900000,–,–
W,W360X162,162,0.2,20600,363,371,–,13.3,–,–,–,8.49,–,516000000,186000000,2960,2960000,–,–
W,W360X147,147,0.1,18800,361,371,–,12.3,–,–,–,9.34,–,462000000,167000000,2240,2240000,–,–
W,W360X134,134,0.1,17100,356,368,–,11.2,–,–,–,10.2,–,416000000,151000000,1690,1690000,–,–
W,W360X122,122,0.1,15500,363,257,–,13.0,–,–,–,5.92,–,367000000,61600000,2110,2110000,–,–
W,W360X110,110,0.1,14100,361,257,–,11.4,–,–,–,6.41,–,331000000,55800000,1610,1610000,–,–
W,W360X101,101,0.1,12900,356,254,–,10.5,–,–,–,6.97,–,301000000,50400000,1250,1250000,–,–
W,W360X91,91.0,0.1,11500,353,254,–,9.53,–,–,–,7.75,–,266000000,44500000,912,912000,–,–
W,W360X79,79.0,0.1,10100,353,205,–,9.40,–,–,–,6.11,–,225000000,24000000,807,807000,–,–
W,W360X72,72.0,0.1,9100,351,204,–,8.64,–,–,–,6.75,–,201000000,21400000,604,604000,–,–
W,W360X64,64.0,0.1,8130,348,203,–,7.75,–,–,–,7.54,–,178000000,18800000,437,437000,–,–
W,W360X57.8,57.8,0.1,7230,358,172,–,7.87,–,–,–,6.57,–,160000000,11100000,332,332000,–,–
W,W360X51,51.0,0.1,6450,356,171,–,7.24,–,–,–,7.41,–,142000000,9700000,237,237000,–,–
W,W360X44,44.0,0.0,5710,351,171,–,6.86,–,–,–,8.74,–,121000000,8160000,158,158000,–,–
W,W360X39,39.0,0.0,4960,353,128,–,6.48,–,–,–,5.98,–,102000000,3710000,149,149000,–,–
W,W360X32.9,32.9,0.0,4190,348,127,–,5.84,–,–,–,7.46,–,82800000,2910000,86.6,86600,–,–
W,W310X500,500,0.5,63800,427,340,–,45.2,–,–,–,2.26,–,1690000000,495000000,101000,101000000,–,–
W,W310X454,454,0.5,57700,414,335,–,41.4,–,–,–,2.45,–,1480000000,437000000,77000,77000000,–,–
W,W310X415,415,0.4,52800,404,333,–,38.9,–,–,–,2.66,–,1290000000,390000000,59500,59500000,–,–
W,W310X375,375,0.4,47800,391,330,–,35.6,–,–,–,2.89,–,1130000000,345000000,45000,45000000,–,–
W,W310X342,342,0.3,43700,384,328,–,32.8,–,–,–,3.11,–,1010000000,309000000,34900,34900000,–,–
W,W310X313,313,0.3,39900,373,325,–,30.0,–,–,–,3.37,–,891000000,276000000,26900,26900000,–,–
W,W310X283,283,0.3,36100,366,323,–,26.9,–,–,–,3.65,–,787000000,245000000,20300,20300000,–,–
W,W310X253,253,0.3,32300,356,320,–,24.4,–,–,–,4.03,–,687000000,215000000,14800,14800000,–,–
W,W310X226,226,0.2,28800,348,318,–,22.1,–,–,–,4.46,–,595000000,189000000,10700,10700000,–,–
W,W310X202,202,0.2,25700,340,315,–,20.1,–,–,–,4.96,–,516000000,166000000,7700,7700000,–,–
W,W310X179,179,0.2,22700,333,312,–,18.0,–,–,–,5.57,–,445000000,144000000,5370,5370000,–,–
W,W310X158,158,0.2,20100,328,310,–,15.5,–,–,–,6.17,–,388000000,125000000,3800,3800000,–,–
W,W310X143,143,0.1,18200,323,310,–,14.0,–,–,–,6.76,–,347000000,112000000,2850,2850000,–,–
W,W310X129,129,0.1,16500,318,307,–,13.1,–,–,–,7.48,–,308000000,100000000,2120,2120000,–,–
W,W310X117,117,0.1,15000,315,307,–,11.9,–,–,–,8.22,–,276000000,89900000,1600,1600000,–,–
W,W310X107,107,0.1,13600,312,305,–,10.9,–,–,–,8.99,–,248000000,81200000,1220,1220000,–,–
W,W310X97,97.0,0.1,12300,307,305,–,9.91,–,–,–,9.92,–,222000000,72400000,907,907000,–,–
W,W310X86,86.0,0.1,11000,310,254,–,9.14,–,–,–,7.82,–,198000000,44500000,874,874000,–,–
W,W310X79,79.0,0.1,10100,307,254,–,8.76,–,–,–,8.69,–,177000000,39900000,658,658000,–,–
W,W310X74,74.0,0.1,9420,310,205,–,9.40,–,–,–,6.31,–,163000000,23400000,712,712000,–,–
W,W310X67,67.0,0.1,8450,307,204,–,8.51,–,–,–,7.00,–,145000000,20800000,524,524000,–,–
