ID,X,Y,Z
1.0,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221
2.0,19.685039370079743,5.008272061797085e-14,9.842519685039221
3.0,1.0127140805427405e-12,1.1368683772161602e-13,19.685039370078442
4.0,19.685039370079757,5.008272061797085e-14,19.685039370078442
5.0,1.028614555923544e-12,1.1368683772161602e-13,29.527559055117663
6.0,19.685039370079775,5.008272061797085e-14,29.527559055117663
7.0,39.370078740159485,-1.3304075194221678e-14,9.842519685039218
8.0,39.3700787401595,-1.3304075194221678e-14,19.68503937007844
9.0,39.370078740159514,-1.3304075194221678e-14,29.52755905511766
10.0,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20
11.0,19.68503937007975,5.0034257515323866e-14,0.0
12.0,39.37007874015949,-1.3352538296868666e-14,-3.552713678800501e-15
