ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,BIM ID
1,1,2,1.028614555923544e-12,1.1368683772161602e-13,29.527559055117663,19.685039370079775,5.008272061797085e-14,29.527559055117663,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.5302265168044883,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1374690
2,2,3,19.685039370080773,5.030004190942349e-14,29.52755905511766,39.370078740159514,-1.3304075194221678e-14,29.52755905511766,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.5302265168044883,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1375710
3,4,1,3.197442310920451e-14,-2.1952543190430125e-46,19.685039370078442,3.1873402192180666e-14,-2.61140161728331e-29,29.527559055117663,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374691
4,4,2,1.5551123453102863e-14,-2.643448601211642e-29,19.685039370078442,19.685039370080762,5.008272061796766e-14,29.527559055117663,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.00854308562958,0.548400673058855,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384128
5,5,2,19.685039370079778,5.0034257515323866e-14,19.685039370078442,19.685039370079778,5.0034257515323866e-14,29.527559055117663,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374692
6,5,3,19.68503937008174,5.030004190942029e-14,19.68503937007844,39.370078740162484,-1.3304075194231283e-14,29.527559055117663,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.00854308562958,0.5484006730588588,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384180
7,6,3,39.37007874015952,-1.3352538296868666e-14,19.685039370078435,39.37007874015952,-1.3352538296868666e-14,29.527559055117656,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714757,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1375711
8,4,5,1.0127140805427405e-12,1.1368683772161602e-13,19.685039370078442,19.685039370079757,5.008272061797085e-14,19.685039370078442,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.48408671371367,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1374667
9,5,6,19.685039370080755,5.030004190942349e-14,19.68503937007844,39.3700787401595,-1.3304075194221678e-14,19.68503937007844,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.48408671371367,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1375707
10,7,4,1.5987211554602254e-14,-2.1952543190430125e-46,9.842519685039221,1.5886190637578415e-14,-2.61140161728331e-29,19.685039370078442,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374668
11,7,5,9.978239356138975e-13,1.1368683772161603e-13,9.84251968503922,19.68503937008174,5.030004190942029e-14,19.68503937007844,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629576,0.5484006730588488,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384038
12,8,5,19.685039370079764,5.0034257515323866e-14,9.842519685039221,19.685039370079764,5.0034257515323866e-14,19.685039370078442,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374669
