ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,1,2,-6.010750000000299,5.4131093716432914e-14,5.999999999999933,3.0320279620355e-13,3.467336799873321e-14,5.999999999999914,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000603,0.01636550479929905,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.45361422090818,1387351
2,2,3,0.0,3.464400691985613e-14,5.99999999999991,6.000000000000612,1.522108061179168e-14,5.999999999999891,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000612,0.01633246095443066,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.1942515337712,1387065
3,4,3,12.000000000001224,-3.967221371980084e-15,5.999999999999892,6.000000000000613,1.525044169066973e-14,5.999999999999889,W 310x21,Beam,AÇO ASTM - A572 GR50,6.00000000000061,0.01633503300008606,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.2144396406722,1388671
4,5,4,18.01075000000153,-2.3219316080949496e-14,5.999999999999899,12.000000000001226,-3.967221371980095e-15,5.999999999999897,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000304,0.016365504799298634,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.4536142209049,1388674
5,5,6,18.01075000000153,-2.321931608094948e-14,5.999999999999931,24.015850000002136,-4.265884852115385e-14,5.999999999999911,W 310x21,Beam,AÇO ASTM - A572 GR50,6.005100000000606,0.01635012986150238,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.3329356135188,1391194
6,6,7,24.015850000001834,-4.268820960003092e-14,5.999999999999907,30.015850000002445,-6.211113590809538e-14,5.999999999999887,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000612,0.01633246095443066,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.1942515337712,1391192
7,8,7,36.015850000003056,-8.129943789186713e-14,5.999999999999888,30.015850000002445,-6.208177482921732e-14,5.999999999999886,W 310x21,Beam,AÇO ASTM - A572 GR50,6.00000000000061,0.01633503300008606,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.2144396406722,1391202
8,9,8,42.02660000000336,-1.0055153260083655e-13,5.999999999999896,36.015850000003056,-8.129943789186713e-14,5.999999999999893,W 310x21,Beam,AÇO ASTM - A572 GR50,6.010750000000311,0.01636550479929862,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,128.45361422090483,1391204
9,10,1,-6.010750000000304,5.413109371643293e-14,2.999999999999975,-6.010750000000299,5.4131093716432914e-14,5.999999999999933,HP 200x53,Column,AÇO ASTM - A572 GR50,2.9999999999999587,0.020459133875023863,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470070466703,1387320
10,10,2,-6.010750000000308,5.413109371643293e-14,2.9999999999998184,3.0320279620355e-13,3.467336799873321e-14,5.999999999999914,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.717820745041351,0.01555122983086457,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,122.06233182859818,1388596
