ID,X,Y,Z
1.0,13.022487515000467,-7.554276695747218e-15,17.700000000000003
2.0,17.222487515000466,-2.1078482975495824e-14,17.700000000000003
3.0,20.284835428616663,-3.0939393662187086e-14,17.700000000000003
4.0,24.48483542861666,-4.446359994193569e-14,17.700000000000003
5.0,15.122487515000465,-1.4280458767673956e-14,15.3
6.0,22.38483542861666,-3.766557573411382e-14,15.3
7.0,12.422487515000466,-5.632510389482432e-15,12.6
8.0,17.822487515000464,-2.302077560630207e-14,12.6
9.0,19.684835428616665,-2.90176273559223e-14,12.6
10.0,25.084835428616657,-4.6405892572741923e-14,12.6
11.0,15.122487515000465,-1.4280458767673956e-14,10.1
12.0,22.384835428616665,-3.766557573411382e-14,10.1
13.0,11.922487515000466,-4.03103846759511e-15,7.0
14.0,18.32248751500046,-2.46393527986406e-14,7.0000000000000036
15.0,19.184835428616662,-2.7416155434034974e-14,7.000000000000001
16.0,25.58483542861666,-4.802446976508046e-14,6.999999999999999
17.0,15.122487515000461,-1.4280458767673944e-14,3.9
18.0,22.38483542861666,-3.766557573411382e-14,3.8999999999999977
19.0,11.422487515000464,-2.429566545707785e-15,-3.815766697174062e-16
20.0,18.753661471808567,-2.603512946348051e-14,-2.4715596236291052e-14
21.0,26.084835428616657,-4.964304695741901e-14,-9.704587767760661e-16
