ID,X,Y,Z,Old ID
1.0,42.724696571523836,-2.4784372361375383e-14,58.07086614173228,11.0
2.0,56.50422413057895,-6.915512787236162e-14,58.07086614173228,6.0
3.0,66.55129733798117,-1.0150719705441956e-13,58.07086614173228,22.0
4.0,80.33082489703628,-1.458779525654058e-13,58.07086614173228,17.0
5.0,49.61446035105139,-4.685189884407465e-14,50.196850393700785,7.0
6.0,73.44106111750872,-1.2357472353711882e-13,50.196850393700785,18.0
7.0,40.75619263451596,-1.8479364794889868e-14,41.33858267716535,10.0
8.0,58.472728067586814,-7.552747902330074e-14,41.33858267716535,5.0
9.0,64.5827934009733,-9.520218948793404e-14,41.33858267716535,21.0
10.0,82.29932883404415,-1.5225030371634488e-13,41.33858267716535,16.0
11.0,49.61446035105139,-4.685189884407465e-14,33.13648293963254,4.0
12.0,73.44106111750874,-1.2357472353711882e-13,33.13648293963254,15.0
13.0,39.1157726870094,-1.32251918228186e-14,22.96587926509186,9.0
14.0,60.11314801509337,-8.083777164908333e-14,22.965879265091857,3.0
15.0,62.942373453466736,-8.994801651586277e-14,22.96587926509186,20.0
16.0,83.93974878155072,-1.575605963421275e-13,22.965879265091857,14.0
17.0,49.614460351051385,-4.685189884407465e-14,12.795275590551173,2.0
18.0,73.44106111750872,-1.2357472353711882e-13,12.795275590551173,13.0
19.0,37.47535273950283,-7.971018850747325e-15,-1.251891961015112e-15,8.0
20.0,61.30195350596017,-8.46938435437915e-14,-1.251891961015112e-15,19.0
21.0,61.75356796259994,-8.614806427486593e-14,-3.1839198713125524e-15,1.0
22.0,85.58016872905726,-1.6287088896791012e-13,-3.1839198713125524e-15,12.0
