ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,BIM ID
0,0,1,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,1372973
1,2,1,39.370078740160494,-1.3086749452636942e-14,9.842519685039221,19.685039370081746,5.0082720617964416e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,1385672
2,3,0,-19.72030839895114,1.7759545182556739e-13,-1.66844081454244e-28,0.0,1.1375776902471846e-13,9.860154199474414,W 310x21,Beam,AÇO ASTM - A572 GR50,1385083
3,6,2,59.09038713911263,-7.617885853329886e-14,-1.66844081454244e-28,39.37007874016149,-1.3015818149540954e-14,9.860154199474414,W 310x21,Beam,AÇO ASTM - A572 GR50,1385678
4,4,0,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,1373235
5,4,1,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column,AÇO ASTM - A572 GR50,1383927
6,5,1,39.37007874016149,-1.267735871742594e-13,1.2950257284652704e-20,19.685039370080748,5.03000419094235e-14,9.842519685039218,W 250x17.9,Column,AÇO ASTM - A572 GR50,1385674
7,5,2,39.37007874016149,-1.267735871742594e-13,6.475128476034473e-20,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,1385673
8,4,3,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,1385392
9,5,6,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,1385679
10,7,3,-19.72030839895114,6.350166498050103e-14,-9.84251968503877,-19.72030839895114,6.3501664980501e-14,4.511946372076636e-13,HP 200x53,Column,AÇO ASTM - A572 GR50,1384711
11,7,4,-19.685039370079746,6.33867935871265e-14,-9.84251968503877,9.947598300641403e-13,1.1368683549654999e-13,4.476419235288631e-13,W 250x17.9,Column,AÇO ASTM - A572 GR50,1384604
12,8,5,59.05511811024123,-1.9016038076138588e-13,-9.84251968503877,39.370078740160494,-1.308675167770299e-14,4.476419235288631e-13,W 250x17.9,Column,AÇO ASTM - A572 GR50,1385676
13,8,6,59.09038713911263,-1.9027264537836518e-13,-9.84251968503877,59.09038713911263,-1.902726453783652e-13,4.511946372076636e-13,HP 200x53,Column,AÇO ASTM - A572 GR50,1385677
