ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,BIM ID
1,2,1,56.50422413057895,-6.891942532677396e-14,58.0708661417323,42.72469657152383,-2.4784372361375336e-14,58.07086614173226,W 250x17.9,Beam,AÇO ASTM - A572 GR50,13.779527559055119,0.34352363310385886,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398273
2,4,3,80.33082489703628,-1.4564225001981811e-13,58.0708661417323,66.55129733798117,-1.015071970544195e-13,58.07086614173226,W 250x17.9,Beam,AÇO ASTM - A572 GR50,13.779527559055119,0.34352363310385875,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398484
3,5,1,49.614460351051385,-4.685189884407463e-14,50.196850393700785,42.724696571523836,-2.478437236137535e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,10.462741941667955,0.26095700190706816,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398271
4,5,2,49.61446035105139,-4.685189884407465e-14,50.196850393700785,56.50422413057894,-6.915512787236157e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,10.462741941667955,0.2609570019070789,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397369
5,6,3,73.44106111750872,-1.235747235371188e-13,50.196850393700785,66.55129733798118,-1.0150719705441952e-13,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,10.462741941667955,0.2609570019070664,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398482
6,6,4,73.44106111750872,-1.2357472353711882e-13,50.196850393700785,80.33082489703628,-1.4587795256540574e-13,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,10.462741941667955,0.2609570019070682,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398472
7,7,1,40.756192634515955,-1.8479364794889846e-14,41.33858267716535,42.724696571523836,-2.4784372361375383e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,16.847679890377652,0.41994430950655415,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398270
8,8,2,58.47272806758682,-7.552747902330074e-14,41.33858267716535,56.50422413057895,-6.915512787236162e-14,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,16.847679890377652,0.4199443095065491,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1397291
9,9,3,64.5827934009733,-9.520218948793401e-14,41.33858267716535,66.55129733798117,-1.0150719705441956e-13,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,16.847679890377652,0.4199443095065587,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398481
10,10,4,82.29932883404415,-1.522503037163449e-13,41.33858267716535,80.33082489703628,-1.458779525654058e-13,58.07086614173228,W 250x17.9,Beam,AÇO ASTM - A572 GR50,16.847679890377652,0.4199443095065633,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,,1398471
