ID,X,Y,Z,Old ID
1.0,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,11.0
2.0,0.0,1.1366144002577471e-13,19.685039370078442,9.0
3.0,19.685039370080744,4.9937928516376895e-14,19.68503937007838,10.0
4.0,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,13.0
5.0,59.09038713911262,-7.617885853329886e-14,19.685039370078407,14.0
6.0,78.79215879265692,-1.4005318110246364e-13,19.68503937007843,21.0
7.0,98.47719816273766,-2.0377669261186145e-13,19.685039370078368,22.0
8.0,118.16223753281841,-2.6673043927777927e-13,19.68503937007837,24.0
9.0,137.88254593176956,-3.298934796615372e-13,19.685039370078396,25.0
10.0,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,8.0
11.0,-1.0835776720341532e-12,1.1368683772162274e-13,9.842519685039221,1.0
12.0,19.685039370079743,5.008272061797085e-14,9.842519685039221,2.0
13.0,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,5.0
14.0,59.09038713911262,-7.617885853329881e-14,9.84251968503866,12.0
15.0,78.79215879265584,-1.400277834066156e-13,9.842519685039257,15.0
16.0,98.47719816273667,-2.036319005102675e-13,9.842519685039257,16.0
17.0,118.16223753281841,-3.804882083024978e-13,9.842519685039257,18.0
18.0,137.88254593176953,-3.2989347966153717e-13,9.84251968503865,23.0
19.0,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,4.0
20.0,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,3.0
21.0,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,6.0
22.0,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,7.0
23.0,78.79215879265692,-2.5371462112823835e-13,-1.0658141036401503e-14,17.0
24.0,118.16223753281842,-3.8048820830249774e-13,-1.0658141036401503e-14,19.0
25.0,137.88254593176956,-4.436512486862557e-13,5.3059933443724284e-14,20.0
26.0,-19.685039370079746,6.33867935871265e-14,-9.84251968503877,26.0
27.0,59.05511811024123,-1.9016038076138588e-13,-9.84251968503877,27.0
28.0,137.84727690289816,-4.438750018896242e-13,-9.84251968503878,28.0
