ID,X,Y,Z
1.0,13.022487515000467,-7.554276695747218e-15,17.700000000000003
2.0,17.222487515000466,-2.1078482975495824e-14,17.700000000000003
3.0,15.122487515000465,-1.4280458767673956e-14,15.3
4.0,12.422487515000466,-5.632510389482432e-15,12.6
5.0,17.822487515000464,-2.302077560630207e-14,12.6
6.0,15.122487515000465,-1.4280458767673956e-14,10.1
7.0,11.922487515000466,-4.03103846759511e-15,7.0
8.0,18.32248751500046,-2.46393527986406e-14,6.999999999999999
9.0,15.122487515000463,-1.4280458767673956e-14,3.8999999999999977
10.0,11.422487515000464,-2.429566545707785e-15,-3.815766697174062e-16
11.0,18.822487515000464,-2.625792999097914e-14,-9.704587767760661e-16
