ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,BIM ID
1,1,2,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398952106,0.5779423477161679,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1387351
2,2,3,0.0,1.1366144002577471e-13,19.685039370078442,19.685039370080744,4.9937928516376895e-14,19.68503937007838,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080744,0.5767754153474441,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1387065
3,4,3,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,19.685039370080748,5.003425751532063e-14,19.685039370078375,W 310x21,Beam,AÇO ASTM - A572 GR50,19.68503937008074,0.576866246282557,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388671
4,5,4,59.09038713911262,-7.617885853329886e-14,19.685039370078407,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951126,0.5779423477161532,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388674
5,5,6,59.09038713911262,-7.617885853329881e-14,19.68503937007851,78.79215879265792,-1.3995685210352312e-13,19.685039370078446,W 310x21,Beam,AÇO ASTM - A572 GR50,19.701771653545293,0.5773993869120149,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391194
6,6,7,78.79215879265692,-1.4005318110246364e-13,19.68503937007843,98.47719816273766,-2.0377669261186145e-13,19.685039370078368,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080744,0.5767754153474441,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391192
7,8,7,118.16223753281841,-2.6673043927777927e-13,19.68503937007837,98.47719816273766,-2.036803636129177e-13,19.685039370078364,W 310x21,Beam,AÇO ASTM - A572 GR50,19.68503937008074,0.576866246282557,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391202
8,9,8,137.88254593176956,-3.298934796615372e-13,19.685039370078396,118.16223753281841,-2.6673043927777927e-13,19.68503937007839,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951147,0.5779423477161527,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1391204
9,10,1,-19.720308398951126,1.7759545182556734e-13,9.842519685039287,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039234,0.7225074942067851,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1387320
10,10,2,-19.72030839895114,1.7759545182556734e-13,9.842519685038774,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307878444,0.5491864985862536,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388596
11,11,2,1.5901029275910398e-14,-5.122665503278945e-29,9.842519685038774,1.580000835888656e-14,-7.734067120562255e-29,19.685039370077995,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386768
12,11,3,-0.03526902887134775,1.1387194031617265e-13,9.84251968503871,19.685039370080744,5.003425751532067e-14,19.68503937007838,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307878395,0.549186498586247,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1386124
13,12,3,19.68503937008074,5.030004190942349e-14,9.842519685039218,19.685039370080755,5.03000419094235e-14,19.68503937007879,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039573,0.7225074942067848,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386169
14,13,3,39.370078740161496,-1.267735871742594e-13,9.842519685038653,19.68503937008074,5.003425751532067e-14,19.68503937007838,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.00854308562981,0.5484006730588536,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1386125
15,13,4,39.37007874016147,-1.2677358717425934e-13,9.842519685038717,39.370078740161496,-1.2677358717425947e-13,19.685039370077938,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714761,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1388668
16,14,4,59.09038713911262,-7.617885853329885e-14,9.842519685038662,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307877567,0.549186498586229,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388676
17,14,5,59.09038713911261,-7.617885853329876e-14,9.842519685039173,59.09038713911262,-7.617885853329881e-14,19.685039370078407,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039234,0.7225074942067989,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1388673
18,14,6,59.07185039370578,-7.6119169302671e-14,9.842519685038763,78.79215879265792,-1.3995685210352312e-13,19.685039370078442,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307878444,0.549186498586259,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1391198
19,15,6,78.79215879265693,-2.537146211282384e-13,9.842519685038763,78.79215879265693,-2.5371462112823845e-13,19.685039370077984,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714477,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1391189
