ID,X,Y,Z,Old ID
1.0,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,11.0
2.0,0.0,1.1366144002577471e-13,19.685039370078442,9.0
3.0,19.685039370080744,4.9937928516376895e-14,19.68503937007838,10.0
4.0,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,13.0
5.0,59.09038713911262,-7.617885853329886e-14,19.685039370078407,14.0
6.0,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,8.0
7.0,-1.0835776720341532e-12,1.1368683772162274e-13,9.842519685039221,1.0
8.0,19.685039370079743,5.008272061797085e-14,9.842519685039221,2.0
9.0,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,5.0
10.0,59.09038713911262,-7.617885853329881e-14,9.84251968503866,12.0
11.0,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,4.0
12.0,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,3.0
13.0,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,6.0
14.0,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,7.0
15.0,-19.685039370079746,6.33867935871265e-14,-9.84251968503877,15.0
16.0,59.05511811024123,-1.9016038076138588e-13,-9.84251968503877,16.0
