ID,X,Y,Z,Old ID
0.0,42.724696571523836,-2.4784372361375383e-14,58.07086614173228,12.0
1.0,49.61446035105138,-4.68518988440746e-14,58.07086614173228,8.0
2.0,56.50422413057895,-6.915512787236162e-14,58.07086614173228,6.0
3.0,49.61446035105139,-4.685189884407465e-14,50.196850393700785,7.0
4.0,40.75619263451596,-1.8479364794889868e-14,41.33858267716535,11.0
5.0,58.472728067586814,-7.552747902330074e-14,41.33858267716535,5.0
6.0,49.61446035105139,-4.685189884407465e-14,33.13648293963254,4.0
7.0,39.1157726870094,-1.32251918228186e-14,22.96587926509186,10.0
8.0,60.11314801509337,-8.083777164908333e-14,22.965879265091857,3.0
9.0,49.614460351051385,-4.685189884407465e-14,12.795275590551173,2.0
10.0,37.47535273950283,-7.971018850747325e-15,-1.251891961015112e-15,9.0
11.0,61.75356796259994,-8.614806427486593e-14,-3.1839198713125524e-15,1.0
