ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,BIM ID
1,1,2,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398952106,0.5779423477161679,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1387351
2,2,3,0.0,1.1366144002577471e-13,19.685039370078442,19.685039370080744,4.9937928516376895e-14,19.68503937007838,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080744,0.5769092806994022,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1387065
3,4,3,39.37007874016149,-1.3015818149540955e-14,19.685039370078382,19.685039370080766,5.0034257515320565e-14,19.685039370078375,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370080723,0.576866246282557,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388671
4,5,4,59.09038713911262,-7.617885853329886e-14,19.685039370078407,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951126,0.5779423477161532,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388674
5,6,1,-19.720308398951126,1.7759545182556734e-13,9.842519685039287,-19.72030839895111,1.7759545182556729e-13,19.68503937007852,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039234,0.7225074942067851,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1387320
6,6,2,-19.72030839895114,1.7759545182556734e-13,9.842519685038774,9.947598300641403e-13,1.1375776902471523e-13,19.685039370078456,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307878444,0.5491864985862536,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388596
7,7,2,1.5901029275910398e-14,-5.122665503278945e-29,9.842519685038774,1.580000835888656e-14,-7.734067120562255e-29,19.685039370077995,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386768
8,8,3,19.68503937008074,5.030004190942349e-14,9.842519685039218,19.685039370080755,5.03000419094235e-14,19.68503937007879,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039573,0.7225074942067848,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386169
9,9,3,39.370078740161496,-1.267735871742594e-13,9.842519685038653,19.68503937008074,5.003425751532067e-14,19.68503937007838,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.00854308562981,0.5484006730588536,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1386125
10,9,4,39.37007874016147,-1.2677358717425934e-13,9.842519685038717,39.370078740161496,-1.2677358717425947e-13,19.685039370077938,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714761,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1388668
11,10,4,59.09038713911262,-7.617885853329885e-14,9.842519685038662,39.370078740161496,-1.3015818149540992e-14,19.6850393700784,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.040094307877567,0.549186498586229,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388676
12,10,5,59.09038713911261,-7.617885853329876e-14,9.842519685039173,59.09038713911262,-7.617885853329881e-14,19.685039370078407,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039234,0.7225074942067989,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1388673
13,7,3,-0.0073419301205104575,2.494476377884093e-17,9.830482578246288,19.685039370080744,5.003425751532066e-14,19.68503937007838,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.020494336775457,0.5486983350055394,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1386124
14,6,7,-19.72030839895114,1.7759545182556739e-13,9.842519685038774,1.4210854715202004e-14,1.137577690247184e-13,9.84251968503871,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951154,0.578394477585227,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1386848
15,7,8,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.5763663198952763,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1372973
16,9,8,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,19.685039370081746,5.0082720617964416e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370079743,0.578432453928782,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1385672
17,10,9,59.09038713911262,-7.617885853329881e-14,9.84251968503866,39.370078740161496,-1.267735871742594e-13,9.842519685038653,W 310x21,Beam,AÇO ASTM - A572 GR50,19.720308398951126,0.577308555976922,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1388669
18,11,6,-19.720308398951126,6.350166498050098e-14,6.564252743815722e-14,-19.720308398951126,6.350166498050095e-14,9.842519685039287,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1386370
19,12,7,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1373235
20,12,8,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629572,0.5484006730588479,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1383927
21,13,8,39.37007874016149,-1.267735871742594e-13,1.2950257284652704e-20,19.685039370080748,5.03000419094235e-14,9.842519685039218,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629572,0.5484006730588514,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1385674
22,13,9,39.37007874016149,-1.267735871742594e-13,6.475128476034473e-20,39.37007874016149,-1.2677358717425942e-13,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.722507494671476,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1385673
23,14,9,59.05511811024215,-1.8982366283912056e-13,6.039613253960852e-14,39.37007874016365,-1.2677358717425386e-13,9.842519685038653,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085627284,0.5183890279632636,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388487
24,14,10,59.09038713911258,-1.9027264537836503e-13,-4.814615474219429e-14,59.09038713911261,-1.9027264537836516e-13,9.842519685039173,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.722507494671476,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1388667
25,11,7,-19.72030839895114,6.383768280084891e-14,6.248160639922862e-14,-0.05934324245646749,1.1394987226223736e-13,9.830482578246249,W 250x17.9,Column,AÇO ASTM - A572 GR50,21.981627296587924,0.5183890279632661,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1388261
26,12,11,2.5900472545107264e-20,-8.384397128232282e-35,-8.368674891290034e-35,-19.72030839895114,6.383768280084892e-14,6.371807448012579e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,19.72030839895114,0.5723496018183426,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1385392
27,13,14,39.37007874016149,-1.267735871742594e-13,-8.368674891290034e-35,59.090387139112636,-1.8993662755801731e-13,6.371807448012579e-14,W 310x21,Beam,AÇO ASTM - A572 GR50,19.72030839895114,0.5784853085203366,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1385679
28,15,11,-19.72030839895114,6.350166498050103e-14,-9.84251968503877,-19.72030839895114,6.3501664980501e-14,4.511946372076636e-13,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1384711
