Section,Massa,d,bf,tw,tf,h,d',Area,Ix,Wx,rx,Zx,Iy,Wy,ry,Zy
W 410 x 60.0,0.06,407,178,7.7,12.8,381,357,7620,217070000,1066700,168.8,1201500,12050000,135400,39.8,209200
W 410 x 67.0,0.067,410,179,8.8,14.4,381,357,8630,246780000,1203800,169.1,1362700,13790000,154100,40,239000
W 410 x 75.0,0.075,413,180,9.7,16,381,357,9580,276160000,1337300,169.8,1518600,15590000,173200,40.3,269100
W 410 x 85.0,0.085,417,181,10.9,18.2,381,357,10860,316580000,1518400,170.7,1731700,18040000,199300,40.8,310400
W 460 x 52.0,0.052,450,152,7.6,10.8,428,404,6660,213700000,949800,179.1,1095900,6340000,83500,30.9,131700
W 460 x 60.0,0.06,455,153,8,13.3,428,404,7620,256520000,1127600,183.5,1292100,7960000,104100,32.3,163400
W 460 x 68.0,0.068,459,154,9.1,15.4,428,404,8760,298510000,1300700,184.6,1495400,9410000,122200,32.8,192400
W 460 x 74.0,0.074,457,190,9,14.5,428,404,9490,334150000,1462400,187.7,1657400,16610000,174800,41.8,271300
W 460 x 82.0,0.082,460,191,9.9,16,428,404,10470,371570000,1615500,188.4,1836400,18620000,195000,42.2,303300
W 460 x 89.0,0.089,463,192,10.5,17.7,428,404,11410,411050000,1775600,189.8,2019400,20930000,218000,42.8,339000
W 460 x 97.0,0.097,466,193,11.4,19,428,404,12340,446580000,1916700,190.3,2187400,22830000,236600,43,368800
W 460 x 106.0,0.106,469,194,12.6,20.6,428,404,13510,489780000,2088600,190.4,2394600,25150000,259300,43.2,405700
W 530 x 66.0,0.066,525,165,8.9,11.4,502,478,8360,349710000,1332200,204.6,1558000,8570000,103900,32,166000
W 530 x 72.0,0.072,524,207,9,10.9,502,478,9160,399690000,1525500,208.9,1755900,16150000,156000,42,244600
W 530 x 74.0,0.074,529,166,9.7,13.6,502,478,9510,409690000,1548900,207.6,1804900,10410000,125500,33.1,200100
W 530 x 82.0,0.082,528,209,9.5,13.3,501,477,10450,475690000,1801800,213.4,2058500,20280000,194100,44.1,302700
W 530 x 85.0,0.085,535,166,10.3,16.5,502,478,10770,484530000,1811300,212.1,2099800,12630000,152200,34.2,241600
W 530 x 92.0,0.092,533,209,10.2,15.6,502,478,11760,551570000,2069700,216.5,2359800,23790000,227600,45,354700
